"ID";"StatusVanBewoning";"RegioS";"Perioden";"TotaleWoningvoorraad_1";"Koopwoningen_2";"TotaalHuurwoningen_3";"EigendomWoningcorporatie_4";"EigendomOverigeVerhuurders_5";"EigendomOnbekend_6"
"798";"T001235";"GM0744";"2020JJ00";"    2875";"    2004";"     800";"     334";"     466";"      71"
"799";"T001235";"GM0744";"2021JJ00";"    2916";"    2028";"     848";"     332";"     516";"      40"
"804";"T001235";"GM0308";"2016JJ00";"   11586";"    6799";"    4418";"    2777";"    1641";"     369"
"805";"T001235";"GM0308";"2017JJ00";"   11676";"    6815";"    4426";"    2777";"    1649";"     435"
"806";"T001235";"GM0308";"2018JJ00";"   11564";"    6992";"    4247";"    2826";"    1421";"     325"
"807";"T001235";"GM0308";"2019JJ00";"   11647";"    7109";"    4513";"    2913";"    1600";"      25"
"808";"T001235";"GM0308";"2020JJ00";"   11679";"    7142";"    4509";"    2962";"    1547";"      28"
"809";"T001235";"GM0308";"2021JJ00";"   11700";"    7178";"    4515";"    2957";"    1558";"       7"
"814";"T001235";"GM0489";"2016JJ00";"   18918";"   12913";"    5991";"    3984";"    2007";"      14"
"815";"T001235";"GM0489";"2017JJ00";"   19131";"   13075";"    6021";"    4108";"    1913";"      35"
"816";"T001235";"GM0489";"2018JJ00";"   19184";"   13251";"    5897";"    4107";"    1790";"      36"
"817";"T001235";"GM0489";"2019JJ00";"   19256";"   13454";"    5771";"    4240";"    1531";"      31"
"818";"T001235";"GM0489";"2020JJ00";"   19416";"   13517";"    5865";"    4278";"    1587";"      34"
"819";"T001235";"GM0489";"2021JJ00";"   19433";"   13557";"    5862";"    4252";"    1610";"      14"
"824";"T001235";"GM0203";"2016JJ00";"   20938";"   14044";"    6610";"    4064";"    2546";"     284"
"825";"T001235";"GM0203";"2017JJ00";"   21330";"   14161";"    6821";"    4092";"    2729";"     348"
"826";"T001235";"GM0203";"2018JJ00";"   21926";"   14704";"    6728";"    4173";"    2555";"     494"
"827";"T001235";"GM0203";"2019JJ00";"   22249";"   15081";"    7129";"    4359";"    2770";"      39"
"828";"T001235";"GM0203";"2020JJ00";"   22799";"   15420";"    7348";"    4408";"    2940";"      31"
"829";"T001235";"GM0203";"2021JJ00";"   23146";"   15635";"    7493";"    4449";"    3044";"      18"
"834";"T001235";"GM0005";"2016JJ00";"    4570";"    3090";"    1466";"    1131";"     335";"      14"
"835";"T001235";"GM0005";"2017JJ00";"    4569";"    3114";"    1439";"    1085";"     354";"      16"
"836";"T001235";"GM0005";"2018JJ00";"    4614";"    3170";"    1424";"    1060";"     364";"      20"
"837";"T001235";"GM0005";"2019JJ00";"";"";"";"";"";""
"838";"T001235";"GM0005";"2020JJ00";"";"";"";"";"";""
"839";"T001235";"GM0005";"2021JJ00";"";"";"";"";"";""
"844";"T001235";"GM0888";"2016JJ00";"    7415";"    5103";"    2287";"    1620";"     667";"      25"
"845";"T001235";"GM0888";"2017JJ00";"    7410";"    5095";"    2292";"    1604";"     688";"      23"
"846";"T001235";"GM0888";"2018JJ00";"    7424";"    5161";"    2234";"    1592";"     642";"      29"
"847";"T001235";"GM0888";"2019JJ00";"    7485";"    5227";"    2245";"    1608";"     637";"      13"
"848";"T001235";"GM0888";"2020JJ00";"    7488";"    5224";"    2251";"    1604";"     647";"      13"
"849";"T001235";"GM0888";"2021JJ00";"    7496";"    5241";"    2251";"    1600";"     651";"       4"
"854";"T001235";"GM1954";"2016JJ00";"";"";"";"";"";""
"855";"T001235";"GM1954";"2017JJ00";"";"";"";"";"";""
"856";"T001235";"GM1954";"2018JJ00";"";"";"";"";"";""
"857";"T001235";"GM1954";"2019JJ00";"   16635";"   12124";"    4456";"    2974";"    1482";"      55"
"858";"T001235";"GM1954";"2020JJ00";"   16635";"   12127";"    4459";"    2974";"    1485";"      49"
"859";"T001235";"GM1954";"2021JJ00";"   16711";"   12183";"    4503";"    3011";"    1492";"      25"
"864";"T001235";"GM0370";"2016JJ00";"    3657";"    2688";"     966";"     730";"     236";"       3"
"865";"T001235";"GM0370";"2017JJ00";"    3790";"    2807";"     977";"     728";"     249";"       6"
"866";"T001235";"GM0370";"2018JJ00";"    3836";"    2854";"     976";"     728";"     248";"       6"
"867";"T001235";"GM0370";"2019JJ00";"    3941";"    2973";"     964";"     744";"     220";"       4"
"868";"T001235";"GM0370";"2020JJ00";"    4036";"    3064";"     965";"     745";"     220";"       7"
"869";"T001235";"GM0370";"2021JJ00";"    4051";"    3076";"     973";"     745";"     228";"       2"
"874";"T001235";"GM0889";"2016JJ00";"    5882";"    3896";"    1970";"    1644";"     326";"      16"
"875";"T001235";"GM0889";"2017JJ00";"    5888";"    3904";"    1971";"    1627";"     344";"      13"
"876";"T001235";"GM0889";"2018JJ00";"    5946";"    3974";"    1957";"    1682";"     275";"      15"
"877";"T001235";"GM0889";"2019JJ00";"    5959";"    4039";"    1918";"    1663";"     255";"       2"
"878";"T001235";"GM0889";"2020JJ00";"    5965";"    4039";"    1924";"    1656";"     268";"       2"
"879";"T001235";"GM0889";"2021JJ00";"    6040";"    4057";"    1983";"    1706";"     277";"       0"
"884";"T001235";"GM0007";"2016JJ00";"    4116";"    2931";"    1142";"     803";"     339";"      43"
"885";"T001235";"GM0007";"2017JJ00";"    4117";"    2905";"    1169";"     799";"     370";"      43"
"886";"T001235";"GM0007";"2018JJ00";"";"";"";"";"";""
"887";"T001235";"GM0007";"2019JJ00";"";"";"";"";"";""
"888";"T001235";"GM0007";"2020JJ00";"";"";"";"";"";""
"889";"T001235";"GM0007";"2021JJ00";"";"";"";"";"";""
"894";"T001235";"GM1945";"2016JJ00";"   15283";"    9164";"    6043";"    4527";"    1516";"      76"
"895";"T001235";"GM1945";"2017JJ00";"   15397";"    9139";"    6173";"    4532";"    1641";"      85"
"896";"T001235";"GM1945";"2018JJ00";"   15519";"    9414";"    5995";"    4519";"    1476";"     110"
"897";"T001235";"GM1945";"2019JJ00";"   15645";"    9575";"    5969";"    4594";"    1375";"     101"
"898";"T001235";"GM1945";"2020JJ00";"   15802";"    9646";"    6014";"    4587";"    1427";"     142"
"899";"T001235";"GM1945";"2021JJ00";"   15854";"    9719";"    6100";"    4576";"    1524";"      35"
"904";"T001235";"GM0491";"2016JJ00";"";"";"";"";"";""
"905";"T001235";"GM0491";"2017JJ00";"";"";"";"";"";""
"906";"T001235";"GM0491";"2018JJ00";"";"";"";"";"";""
"907";"T001235";"GM0491";"2019JJ00";"";"";"";"";"";""
"908";"T001235";"GM0491";"2020JJ00";"";"";"";"";"";""
"909";"T001235";"GM0491";"2021JJ00";"";"";"";"";"";""
"914";"T001235";"GM1724";"2016JJ00";"    7742";"    6035";"    1642";"    1035";"     607";"      65"
"915";"T001235";"GM1724";"2017JJ00";"    7770";"    6038";"    1665";"    1038";"     627";"      67"
"916";"T001235";"GM1724";"2018JJ00";"    7810";"    6120";"    1620";"    1038";"     582";"      70"
"917";"T001235";"GM1724";"2019JJ00";"    7870";"    6139";"    1721";"    1072";"     649";"      10"
"918";"T001235";"GM1724";"2020JJ00";"    7970";"    6198";"    1761";"    1081";"     680";"      11"
"919";"T001235";"GM1724";"2021JJ00";"    8027";"    6228";"    1795";"    1080";"     715";"       4"
"924";"T001235";"GM0893";"2016JJ00";"    5619";"    3849";"    1761";"    1368";"     393";"       9"
"925";"T001235";"GM0893";"2017JJ00";"    5669";"    3889";"    1771";"    1368";"     403";"       9"
"926";"T001235";"GM0893";"2018JJ00";"    5683";"    3954";"    1718";"    1356";"     362";"      11"
"927";"T001235";"GM0893";"2019JJ00";"    5723";"    4054";"    1654";"    1358";"     296";"      15"
